大标题,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2
南京大学、江苏南大置业有限公司汉口路58号留学生公寓运营服务及物业管理项目公开招标公告,汉口路58号留学生公寓运营服务及物业管理,服务/房地产服务/物业管理服务,南京大学、江苏南大置业有限公司,南京市,2022年01月29日  17:15,"2022年01月29日至2022年02月10日, 每日上午:9:00 至 11:00  下午:14:00 至 16:00（北京时间，法定节假日除外）",￥500,江苏省南京市建邺区西城路300号君泰国际大厦C座3楼,2022年02月21日  14:30,江苏省南京市建邺区西城路300号君泰国际大厦C座3楼,￥150.000000万元（人民币）,李先生,025-83715090,南京市栖霞区仙林大道163号；南京市栖霞区仙林大道168号,王老师，025-89688969；戴老师，025-89681680,新华招标有限公司,南京市建邺区西城路300号,李先生，025-83715090,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571532.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571532.htm
国家税务总局阳谷县税务局办税窗口劳务服务外包项目公开招标公告,国家税务总局阳谷县税务局办税窗口劳务服务外包项目,服务/其他服务,国家税务总局阳谷县税务局,阳谷县,2022年01月29日  17:33,"2022年01月30日至2022年02月10日, 每日上午:9:00 至 12:00  下午:12:00 至 17:00（北京时间，法定节假日除外）",￥0,聊城市公共资源交易网站网上下载（http://ggzyjy.liaocheng.gov.cn）。(电子评标项目招标文件格式为.lczf),2022年02月22日  09:30,聊城市公共资源交易中心网上不见面开标大厅（阳谷县公共资源交易中心四楼第二开标室（阳谷县谷山北路北首））（网址：http://120.224.28.53:8093/BidOpening//bidopeninghallaction/hall/login）,￥365.000000万元（人民币）,张国庆,06356390034,山东省聊城市阳谷县,郗清玲   06356391109,山东冠宇招标有限公司,聊城市东昌府区利民东路26号水利科技推广中心507室（剧院路口东50米路南）,荣飞 15725565253,招标公告.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571500.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571500.htm
南京理工大学灾后学生宿舍重建项目校园交通环境整治公开招标公告,南京理工大学灾后学生宿舍重建项目校园交通环境整治招标公告,工程/其他建筑工程,南京理工大学,玄武区,2022年01月29日  17:38,"2022年01月30日至2022年02月17日, 每日上午:9:00 至 11:30  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥300,请登录南京市公共资源交易中心网站（njggzy.nanjing.gov.cn/njweb）,2022年02月17日  15:00,南京市公共资源交易中心,￥800.000000万元（人民币）,燕老师,025-84303870,南京市孝陵卫200号,燕老师025-84303870,江苏伟业项目管理有限公司, 江苏伟业项目管理有限公司（南京市玄武区中山门大街297号钟鼎名悦广场5-207室）,禹工 13770605019,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571526.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571526.htm
国家自然科学基金委员会2022年度流动编制项目主任公寓房间租赁公开招标公告,国家自然科学基金委员会2022年度流动编制项目主任公寓房间租赁,服务/房地产服务/房屋租赁服务,国家自然科学基金委员会,北京市,2022年01月29日  17:39,"2022年01月29日至2022年02月10日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥500,中招联合招标采购平台（网址：http://www.365trade.com.cn），详见特别告知。,2022年02月23日  09:30,中招国际招标有限公司会议室(北京市海淀区学院南路62号中关村资本大厦),￥356.000000万元（人民币）,姚启洪、李莉,010-61954076、010-62108210,北京市海淀区双清路83号,蔡老师  010-62327086,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦613C室,姚启洪、李莉 010-61954076、010-62108210,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571535.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571535.htm
财政部国库司聘请常年派驻专职法律顾问律师团队项目公开招标公告,财政部国库司聘请常年派驻专职法律顾问律师团队项目,服务/商务服务/法律服务/法律咨询服务,财政部,北京市,2022年01月29日  17:55,"2022年01月30日至2022年02月10日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,北京市阜成门外大街1号四川大厦西楼21层2102B,2022年02月21日  09:30,"北京西城区阜成门外大街1号四川大厦西塔楼28层2802室。
开标现场递交/接收投标文件时间：2022年2月21日上午8:30-9:30（北京时间）。
邮寄/快递方式密封递交投标文件：见招标文件具体要求",￥890.000000万元（人民币）,李杭、邵炜、李子豪,"010-68991205,86433015",北京市西城区三里河南三巷3号,010-68552144,中国机械进出口(集团)有限公司,北京市西城区阜成门外大街1号四川大厦西楼21层,李杭、邵炜、李子豪  电话：010-68991205，86433015 电子邮箱：lizihao1@cmc.gt.cn,购买招标文件采购文件登记表.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571609.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571609.htm
国家税务总局西安市税务局第二税务分局劳务派遣人员劳务费政府采购项目公开招标公告,国家税务总局西安市税务局第二税务分局劳务派遣人员劳务费政府采购项目,服务/其他服务,国家税务总局西安市税务局第二税务分局,雁塔区,2022年01月29日  18:16,"2022年01月30日至2022年02月10日, 每日上午:9:00 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥500,网上报名。,2022年02月21日  09:30,西安经济技术开发区凤城一路6号利君V时代B座12F1212陕西正翼招标代理有限公司开标室,￥710.000000万元（人民币）,刘媚、杜晓庆,17792371874,西安市雁塔区唐延路9号,闵老师,陕西正翼招标代理有限公司,西安经济技术开发区凤城一路6号利君V时代B座9F901室,刘媚、杜晓庆；17792371874,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571704.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571704.htm
北京医院疑难病症诊治能力提升项目多功能酶标仪采购公开招标公告,北京医院疑难病症诊治能力提升项目多功能酶标仪采购,货物/专用设备/医疗设备/临床检验设备,北京医院,北京市,2022年01月29日  18:41,"2022年01月30日至2022年02月10日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,北京市阜成门外大街1号四川大厦西楼21层2102B室,2022年02月22日  09:30,北京西城区阜成门外大街1号四川大厦西塔楼28层2802室。开标现场递交/接收投标文件时间：2022年2月22日上午8:30-9:30（北京时间）。,￥50.000000万元（人民币）,李杭，邵炜，张曌明，李子豪,010-68991925，86433015,北京市东单大华路1号,010-65127933,中国机械进出口(集团)有限公司,北京市西城区阜成门外大街1号四川大厦西楼21层2101B,李杭，邵炜，张曌明，李子豪  电话：010-68991925，86433015电子邮箱：zhangzhaoming@cmc.gt.cn,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571768.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571768.htm
北京医院疑难病症诊治能力提升项目流式细胞仪采购公开招标公告,北京医院疑难病症诊治能力提升项目流式细胞仪采购,货物/专用设备/医疗设备/临床检验设备,北京医院,北京市,2022年01月29日  18:42,"2022年01月30日至2022年02月10日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,北京市阜成门外大街1号四川大厦西楼21层2102B室,2022年02月22日  09:30,北京西城区阜成门外大街1号四川大厦西塔楼28层2802室。开标现场递交/接收投标文件时间：2022年2月22日上午8:30-9:30（北京时间）。,￥99.000000万元（人民币）,李杭，邵炜，张曌明，李子豪,010-68991925，86433015,北京市东单大华路1号,010-65127933,中国机械进出口(集团)有限公司,北京市西城区阜成门外大街1号四川大厦西楼21层2101B,李杭，邵炜，张曌明，李子豪  电话：010-68991925，86433015电子邮箱：zhangzhaoming@cmc.gt.cn,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571765.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571765.htm
北京医院疑难病症诊治能力提升项目正倒置一体荧光显微镜采购公开招标公告,北京医院疑难病症诊治能力提升项目正倒置一体荧光显微镜采购,货物/专用设备/医疗设备/临床检验设备,北京医院,北京市,2022年01月29日  18:43,"2022年01月30日至2022年02月10日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,北京市阜成门外大街1号四川大厦西楼21层2102B室,2022年02月22日  09:30,北京西城区阜成门外大街1号四川大厦西塔楼28层2802室。开标现场递交/接收投标文件时间：2022年2月22日上午8:30-9:30（北京时间）。,￥98.000000万元（人民币）,李杭，邵炜，张曌明，李子豪,010-68991925，86433015,北京市东单大华路1号,010-65127933,中国机械进出口(集团)有限公司,北京市西城区阜成门外大街1号四川大厦西楼21层2101B,李杭，邵炜，张曌明，李子豪  电话：010-68991925，86433015电子邮箱：zhangzhaoming@cmc.gt.cn,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571772.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571772.htm
应急管理部四川消防研究所0号柴油采购项目（第三次）公开招标公告,应急管理部四川消防研究所0号柴油采购项目（第三次）,货物/炼焦产品、炼油产品/石油制品/柴油,应急管理部四川消防研究所,四川省,2022年01月29日  19:10,"2022年01月30日至2022年02月10日, 每日上午:9:00 至 12:00  下午:12:00 至 17:00（北京时间，法定节假日除外）",￥500,通过邮箱（553762817@qq.com）获取招标文件。,2022年02月21日  10:00,四川省成都市一环路西三段31号嘉园大厦15楼开标室,￥700.000000万元（人民币）,庄先生,028-86736328,成都市金牛区金科南路69号 ,蔡老师 028-87510201,成都科益工程咨询有限公司,成都市金牛区一环路西三段31号嘉园大厦15楼 ,庄先生 028-86736328,采购需求.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571826.htm,附件.zip-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571826.htm
景苑招待所维修改造项目采购公告,景苑招待所维修改造项目,,SPD单位,市辖区,2022年01月29日  19:56,"0002年11月30日至2022年01月29日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年01月30日  09:00,西章胡同9号院,￥860.000000万元（人民币）,陆宇飞,010-55602387,北京市西城区闹市口大街11号,17813768363,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571884.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220129_17571884.htm
中央广播电视总台央广第二主控建设项目工艺系统 ——网络安全设备采购项目招标公告,中央广播电视总台央广第二主控建设项目工艺系统 ——网络安全设备采购项目,,中央广播电视总台,市辖区,2022年01月30日  09:35,"2022年01月12日至2022年02月21日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月22日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥319.490000万元（人民币）,王震,010-55602563,北京市海淀区复兴路11号,010-68506187,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572353.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572353.htm
中国地质调查局自然资源综合调查指挥中心基础地质调查业务能力培训项目公开招标公告,基础地质调查业务能力培训项目,服务/教育服务/专业技能培训服务,中国地质调查局自然资源综合调查指挥中心,北京市,2022年01月30日  10:08,"2022年01月30日至2022年02月21日, 每日上午:9:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,北京市海淀区三里河路5号中国五矿集团D座206室（本项目采购文件一律通过线上购买方式获取，如带来不便敬请谅解。）,2022年02月22日  09:30,北京市海淀区三里河路5号五矿大厦四层会议室（为响应国家防疫政策要求，采取远程视频会议方式进行开标仪式，届时请投标人代表通过远程视频会议方式参加开标仪式。）,￥600.000000万元（人民币）,程皓、席桥,010-88821635,北京市西城区红莲南路55号,孙先生，010-59305204,五矿国际招标有限责任公司,北京市海淀区三里河路5号中国五矿集团D座二层,程皓、席桥 010-88821635,技术需求.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572422.htm,购买登记表-（开票通知单）(专票到付）.xls-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572422.htm
国家卫星海洋应用中心“十三五”海洋观测卫星地面系统数据处理平台项目A02包计算服务器采购项目招标公告,国家卫星海洋应用中心“十三五”海洋观测卫星地面系统数据处理平台项目A02包计算服务器采购项目,,国家卫星海洋应用中心,市辖区,2022年01月30日  11:03,"2021年12月22日至2022年02月28日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年03月01日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥3650.000000万元（人民币）,王震,010-55602563,北京市海淀区大慧寺8号,010-82481859,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572588.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17572588.htm
